"tenis",zapatos
"tennis",zapatos
"teni",zapatos
"camisa",ropa
"camisas",ropa
"necesito una camisa",camisa
"quiero una camisa",camisa
"las camisas",camisa
"boxers",ropa_interior
"camisetas",camiseta
"camiceta",camiseta
"camicetas",camiseta
"camiceta",camiseta
"Jeans",pantalon
"Jean",pantalon
"yeans",pantalon
"yean",pantalon
"jogger",jogger
"joger",jogger
"joggers",jogger
"jogers",jogger
"yoger",jogger
"yogger",jogger
"yogers",jogger
"yoggers",jogger
"pantalon",pantalon
"pantalones",pantalones
"media",media
"medias",media
"calcetin",media
"calsetin",media
"clacetin",media
"calsetin",media
"tobillera",media
"tobiyera",media
"toviyera",media
"tovillera",media
"tobilleras",media
"tobiyeras",media
"toviyeras",media
"tovilleras",media
"bemuda",pantalon
"vermuda",pantalon
"bemudas",pantalon
"vermudas",pantalon
"chaqueta",chaqueta
"chaquetas",chaqueta
"blusa",blusa
"blusas",blusa
"reloj",reloj
"sandalias",sandalia
"sandalia",sandalia
"zandalia",sandalia
"zandalias",sandalia
"Buzos",chaqueta
"busos",chaqueta
"Buzo",chaqueta
"buso",chaqueta
"vestido",vestido
"vestidos",vestidos
"bestidos",vestidos
"bestido",vestidos
"falda",falda
"faldas",falda
"short",short
"shores",short
"shor",short
"Polos",camisetas
"Polo",camisetas
"abcdefghi",nn
"jklmno",nn
"otra cosa",nn
"asdfghjkl",nn
"pregunta",nn
"poytre",nn
"lmnhgvcr",nn
"por favor me informa lo siguientes datos, talla, color, sexo y referencia",nn
"por favor",nn
"informacion",nn
"palabra",nn
"persona",nn
"¿hola,como esta?",nn
"Puedo ayudarle?",nn
"m",nn
"x",nn
"s",nn
"M",nn
"necesito una camisa",camisa
"un par de camisas",camisa
"un grupo de camisas",camisa
"necesito una falda",falda
"un par de falda",falda
"un grupo de falda",falda
"necesito una pantalon",pantalon
"un par de pantalon",pantalon
"un grupo de pantalon",pantalon
"necesito una pantalones",pantalon
"un par de pantalones",pantalon
"un grupo de pantalones",pantalon
"en la pagina web vi una camiseta",camiseta
"en la pagina web vi un pantalon",pantalon
"quiero una falda",falda
"quiero comprar una falda",falda
"continuar con la compra",nn
